loc_rowid,pl_hostname,pl_letter,pl_orbper,pl_orbsmax
274,HD 10180,d,16.357,0.12859
275,HD 10180,e,49.748,0.2699
276,HD 10180,f,122.744,0.4929
277,HD 10180,g,604.67,1.427
278,HD 10180,h,2205,3.381
279,HD 101930,b,70.46,0.3
280,HD 102117,b,20.8133,0.15
281,HD 102195,b,4.11377,0.05
282,HD 102272,b,127.58,0.51
283,HD 102329,b,778.09998,1.81
284,HD 102365,b,122.1,0.46
285,HD 102956,b,6.4948,0.08
286,HD 103197,b,47.84,0.25
287,HD 103720,b,4.5557,0.0498
288,HD 103774,b,5.8881,0.07
289,HD 104067,b,55.806,0.26
290,HD 10442,b,1043,2.34
291,HD 104985,b,199.505,0.95
292,HD 106252,b,1531,2.61
293,HD 106270,b,2890,4.3
294,HD 106315,b,9.55385,0.08887
295,HD 106315,c,21.058,0.1503
296,HD 10647,b,989.2,2.015
297,HD 106515 A,b,3630,4.59
299,HD 10697,b,1075.2,2.131
300,HD 107148,b,48.056,0.269
301,HD 108147,b,10.8985,0.102
302,HD 108341,b,1129,2
303,HD 108863,b,443.39999,1.45
304,HD 108874,b,394.48123,1.04
305,HD 108874,c,1624,2.659
306,HD 109246,b,68.27,0.33
307,HD 109271,b,7.8543,0.079
308,HD 109271,c,30.93,0.196
309,HD 109749,b,5.24,0.06
310,HD 110014,b,835.477,2.14
311,HD 111232,b,1143,1.97
312,HD 111591,b,1056.4,2.5
313,HD 111998,b,825.9,1.82
314,HD 113337,b,324,0.92
315,HD 113538,b,663.2,1.24
316,HD 113538,c,1818,2.44
317,HD 113996,b,610.2,1.6
318,HD 114386,b,937.70001,1.73
319,HD 114613,b,3827,5.16
320,HD 114729,b,1114,2.1
321,HD 114762,b,83.9151,0.36
322,HD 114783,b,493.7,1.16
323,HD 11506,b,1405,2.6
324,HD 11506,c,223.6,0.721
325,HD 116029,b,670,1.65
326,HD 117207,b,2597,3.74
327,HD 11755,b,433.70001,1.09
328,HD 117618,b,25.827,0.17
329,HD 118203,b,6.1335,0.07
330,HD 11964,b,1945,3.16
331,HD 11964,c,37.91,0.229
332,HD 11977,b,711,1.93
333,HD 120084,b,2082,4.3
334,HD 121504,b,63.33,0.33
335,HD 12484,b,58.83,0.297
336,HD 125595,b,9.6737,0.08
337,HD 125612,b,559.40485,1.37
338,HD 125612,c,4.1547,0.05
339,HD 125612,d,3008,4.2
340,HD 12648,b,133.60001,0.54
341,HD 12661,b,262.70862,0.84
342,HD 12661,c,1708,2.8145
343,HD 126614,b,1244,2.37
344,HD 128311,b,453.019,1.084
345,HD 128311,c,921.538,1.74
346,HD 128356,b,298.2,0.87
347,HD 129445,b,1840,2.9
348,HD 130322,b,10.70871,0.0925
349,HD 131496,b,883,2.11
350,HD 131664,b,1951,3.17
351,HD 13189,b,471.60001,1.25
352,HD 132406,b,974,1.98
353,HD 132563,b,1544,2.62
354,HD 133131 A,b,649,1.44
355,HD 133131 A,c,3568,4.49
356,HD 133131 B,b,5769,6.15
357,HD 134987,b,258.17999,0.81
358,HD 134987,c,5000,5.8
359,HD 136418,b,464.29999,1.29
360,HD 137388 A,b,330,0.89
361,HD 13908,b,19.382,0.154
362,HD 13908,c,931,2.03
363,HD 13931,b,4218,5.15
364,HD 139357,b,1125.7,2.36
365,HD 14067,b,1455,3.4
366,HD 141399,b,94.44,0.415
367,HD 141399,c,201.99,0.689
368,HD 141399,d,1069.8,2.09
369,HD 141399,e,5000,5
370,HD 141937,b,653.21997,1.5
371,HD 142,b,349.7,1.02
372,HD 142,c,6005,6.8
373,HD 142022 A,b,1928,2.93
374,HD 142245,b,1299,2.78
375,HD 142415,b,386.29999,1.06
376,HD 143105,b,2.1974,0.0379
377,HD 143361,b,1046.2,1.98
378,HD 145377,b,103.95,0.45
379,HD 145457,b,176.3,0.76
380,HD 145934,b,2730,4.6
381,HD 1461,b,5.77152,0.0634
382,HD 1461,c,13.5052,0.1117
383,HD 147018,b,44.236,0.2388
384,HD 147018,c,1008,1.922
385,HD 147379,b,86.54,0.3193
386,HD 147513,b,528.4,1.32
387,HD 147873,b,116.596,0.522
388,HD 147873,c,491.54,1.36
389,HD 148156,b,1027,2.45
390,HD 148427,b,331.5,1.04
392,HD 149143,b,4.072,0.05
393,HD 1502,b,431.8,1.31
394,HD 150706,b,5894,6.7
395,HD 152079,b,2899,3.98
396,HD 152581,b,689,1.49
397,HD 153950,b,499.39999,1.28
398,HD 154345,b,3341.55884,4.21
399,HD 154672,b,163.94,0.6
400,HD 154857,b,408.60001,1.29
401,HD 154857,c,3452,5.36
402,HD 155233,b,818.8,2
403,HD 155358,b,194.3,0.63
404,HD 155358,c,391.9,1.02
405,HD 156279,b,131.05,0.49
406,HD 156411,b,842.2,1.88
407,HD 156668,b,4.6455,0.05
408,HD 156846,b,359.51001,1.12
409,HD 158038,b,521,1.5
410,HD 158996,b,820.2,2.1
411,HD 159243,b,12.62,0.11
412,HD 159243,c,248.4,0.8
413,HD 159868,b,1178.40002,2.3
414,HD 159868,c,352.3,1
415,HD 1605,b,577.90002,1.49
416,HD 1605,c,2111,3.52
417,HD 160691,b,643.25,1.497
418,HD 160691,c,4205.8,5.235
419,HD 160691,d,9.6386,0.09094
420,HD 160691,e,310.55,0.921
421,HD 16141,b,75.523,0.36
422,HD 16175,b,990,2.12
423,HD 162020,b,8.4282,0.08
424,HD 163607,b,75.29,0.36
425,HD 163607,c,1314,2.42
426,HD 16417,b,17.24,0.14
427,HD 164509,b,282.4,0.875
428,HD 164595,b,40,0.23
429,HD 164604,b,606.4,1.3
430,HD 164922,b,1155,2.1
431,HD 164922,c,75.765,0.3351
432,HD 165155,b,434.5,1.13
