loc_rowid,pl_hostname,pl_letter,pl_bmassj,pl_radj
2187,Kepler-24,b,1.6,0.214
2188,Kepler-24,c,1.6,0.25
2216,Kepler-25,b,0.0302,0.242
2217,Kepler-25,c,0.0774,0.464
2248,Kepler-26,b,0.01611,0.248
2249,Kepler-26,c,0.01951,0.243
2275,Kepler-27,b,9.11,0.357
2276,Kepler-27,c,13.8,0.437
2293,Kepler-276,c,0.052,0.259
2294,Kepler-276,d,0.051,0.25
2295,Kepler-277,b,0.275,0.261
2296,Kepler-277,c,0.202,0.3
2300,Kepler-279,c,0.155,0.384
2301,Kepler-279,d,0.118,0.277
2302,Kepler-28,b,1.51,0.321
2303,Kepler-28,c,1.36,0.303
2310,Kepler-282,d,0.192,0.219
2311,Kepler-282,e,0.177,0.277
2327,Kepler-289,b,0.023,0.192
2328,Kepler-289,c,0.42,1.034
2329,Kepler-289,d,0.013,0.239
2330,Kepler-29,b,0.01419,0.299
2331,Kepler-29,c,0.01259,0.28
2362,Kepler-30,b,0.036,0.348
2363,Kepler-30,c,2.01,1.097
2364,Kepler-30,d,0.073,0.785
2378,Kepler-305,b,0.033,0.321
2379,Kepler-305,c,0.019,0.294
2385,Kepler-307,b,0.02341,0.217
2386,Kepler-307,c,0.01145,0.196
2392,Kepler-31,c,4.7,0.473
2393,Kepler-31,d,6.8,0.348
2416,Kepler-32,b,4.1,0.196
2417,Kepler-32,c,0.5,0.178
2440,Kepler-328,b,0.09,0.205
2441,Kepler-328,c,0.124,0.482
2472,Kepler-338,e,0.027,0.139
2476,Kepler-34,b,0.22,0.764
2501,Kepler-35,b,0.127,0.728
2503,Kepler-350,c,0.019,0.277
2504,Kepler-350,d,0.047,0.25
2527,Kepler-36,b,0.014,0.133
2528,Kepler-36,c,0.025,0.328
2550,Kepler-37,b,0.01,0.03
2551,Kepler-37,c,0.03776,0.067
2552,Kepler-37,d,0.03839,0.173
2576,Kepler-38,b,0.384,0.384
2597,Kepler-39,b,20.1,1.24
2610,Kepler-396,b,0.238,0.312
2611,Kepler-396,c,0.056,0.473
2620,Kepler-4,b,0.077,0.357
2621,Kepler-40,b,2.2,1.17
2638,Kepler-406,b,0.02,0.128
2639,Kepler-406,c,0.009,0.076
2640,Kepler-407,b,0.01007,0.095
2642,Kepler-408,b,0.01573,0.073
2643,Kepler-409,b,0.06922,0.106
2644,Kepler-41,b,0.56,1.29
2648,Kepler-412,b,0.941,1.341
2649,Kepler-413,b,0.211,0.388
2650,Kepler-414,b,0.011,0.153
2651,Kepler-414,c,0.094,0.269
2652,Kepler-415,b,0.377,0.108
2654,Kepler-416,b,0.183,0.221
2656,Kepler-417,b,0.035,0.206
2658,Kepler-418,b,1.1,1.2
2659,Kepler-419,b,2.5,0.96
2665,Kepler-422,b,0.43,1.15
2666,Kepler-423,b,0.595,1.192
2667,Kepler-424,b,1.03,0.89
2669,Kepler-425,b,0.25,0.978
2670,Kepler-426,b,0.34,1.09
2671,Kepler-427,b,0.29,1.23
2672,Kepler-428,b,1.27,1.08
2673,Kepler-43,b,3.23,1.219
2679,Kepler-432,b,5.41,1.145
2681,Kepler-433,b,2.82,1.45
2682,Kepler-434,b,2.86,1.13
2683,Kepler-435,b,0.84,1.99
2689,Kepler-44,b,1,1.09
2705,Kepler-447,b,1.37,1.65
2708,Kepler-45,b,0.505,0.96
2713,Kepler-453,b,0.05034,0.553
2714,Kepler-454,b,0.02,0.21
2717,Kepler-46,b,6,0.808
2730,Kepler-47,b,2,0.27
2731,Kepler-47,c,28,0.411
2742,Kepler-48,b,0.0124,0.168
2743,Kepler-48,c,0.04597,0.242
2744,Kepler-48,d,0.025,0.182
2757,Kepler-49,b,0.98,0.243
2758,Kepler-49,c,0.72,0.227
2771,Kepler-5,b,2.111,1.426
2784,Kepler-51,b,0.007,0.633
2785,Kepler-51,c,0.013,0.803
2786,Kepler-51,d,0.024,0.865
2797,Kepler-52,b,8.7,0.187
2798,Kepler-52,c,10.41,0.164
2813,Kepler-53,b,18.41,0.258
2814,Kepler-53,c,15.74,0.283
2825,Kepler-539,b,0.97,0.747
2827,Kepler-54,b,0.92,0.187
2828,Kepler-54,c,0.37,0.11
2841,Kepler-55,b,1.49,0.217
2842,Kepler-55,c,1.11,0.197
2857,Kepler-56,b,0.07,0.581
2858,Kepler-56,c,0.57,0.874
2871,Kepler-57,b,18.86,0.195
2872,Kepler-57,c,6.95,0.138
2883,Kepler-58,b,1.39,0.248
2884,Kepler-58,c,2.19,0.255
2896,Kepler-59,b,2.05,0.098
2897,Kepler-59,c,1.37,0.177
2908,Kepler-6,b,0.668,1.304
2909,Kepler-60,b,0.01318,0.153
2910,Kepler-60,c,0.01211,0.17
2911,Kepler-60,d,0.01309,0.178
2939,Kepler-62,b,0.03,0.117
2940,Kepler-62,c,0.013,0.048
2941,Kepler-62,d,0.044,0.174
2942,Kepler-62,e,0.113,0.144
2943,Kepler-62,f,0.11,0.126
2955,Kepler-63,b,0.378,0.545
3012,Kepler-68,b,0.02,0.21
3013,Kepler-68,c,0.02265,0.089
3037,Kepler-7,b,0.441,1.622
3081,Kepler-74,b,0.63,0.96
3092,Kepler-75,b,10.1,1.05
3108,Kepler-76,b,2.01,1.36
3121,Kepler-77,b,0.43,0.96
3134,Kepler-78,b,0.01,0.1
3145,Kepler-79,b,0.0343,0.31
3146,Kepler-79,c,0.019,0.332
3147,Kepler-79,d,0.019,0.639
3148,Kepler-79,e,0.013,0.311
3159,Kepler-8,b,0.59,1.416
3160,Kepler-80,b,0.0218,0.238
3161,Kepler-80,c,0.02121,0.244
3162,Kepler-80,d,0.02124,0.136
3163,Kepler-80,e,0.01299,0.143
3257,Kepler-87,b,1.02,1.204
3258,Kepler-87,c,0.02,0.548
